,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001
,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly,never,weekly2,semiweekly2,triweekly
Prevented transmission,0.0,0.29951472132691126,0.5880925650961504,0.7673197407018433,0.0,0.3281301233071351,0.6024263982591934,0.759506374015083,0.0,0.4640209689970103,0.6887004955563746,0.822500716713765,0.0,0.4885939097948365,0.7272347797048817,0.8274372299793376,0.0,0.5273830873223893,0.6747137536211891,0.8032832114774451,0.0,0.5282573410063449,0.6989080714180316,0.799468791500664,0.0,0.6944617410023306,0.831859666601434,0.9026668327136224,0.0,0.6518848251523901,0.805746711581649,0.8814485081809432,0.0,0.6944815495074304,0.8354900651193855,0.8899649357154784,0.0,0.7055200759316443,0.8311208077615196,0.8917544590514557,0.0,0.5933391761612621,0.812883435582822,0.8308501314636285,0.0,0.650200267022697,0.7821064790507193,0.8585229744528285
